prefix_token_ratio,prefix_derived_ratio,suffix_token_ratio,suffix_derived_ratio,total_affix_token_ratio,total_affix_derived_ratio,actor_focus_ratio,object_focus_ratio,benefactive_focus_ratio,locative_focus_ratio,instrumental_focus_ratio,referential_focus_ratio,infinitive_verb_ratio,participle_verb_ratio,perfective_verb_ratio,imperfective_verb_ratio,contemplative_verb_ratio,recent_past_verb_ratio,aux_verb_ratio
0.0,0.0,0.0076045627376425855,1.0,0.0076045627376425855,1.0,0.0,0.011406844106463879,0.0,0.0,0.0,0.0,0.0038022813688212928,0.057034220532319393,0.022813688212927757,0.022813688212927757,0.011406844106463879,0.0,0.015209125475285171
0.0,0.0,0.0056925996204933585,1.0,0.0056925996204933585,1.0,0.007590132827324478,0.013282732447817837,0.0,0.0,0.0,0.0018975332068311196,0.020872865275142316,0.06261859582542695,0.017077798861480076,0.03415559772296015,0.011385199240986717,0.0,0.020872865275142316
0.0,0.0,0.003663003663003663,1.0,0.003663003663003663,1.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.0,0.003663003663003663,0.054945054945054944,0.02564102564102564,0.014652014652014652,0.014652014652014652,0.0,0.003663003663003663
0.0,0.0,0.00641025641025641,1.0,0.00641025641025641,1.0,0.01282051282051282,0.016025641025641024,0.003205128205128205,0.0,0.0,0.0,0.016025641025641024,0.08012820512820513,0.05128205128205128,0.019230769230769232,0.009615384615384616,0.0,0.0
0.002352941176470588,0.25,0.009411764705882352,1.0,0.011764705882352941,1.25,0.004705882352941176,0.009411764705882352,0.0,0.0,0.0,0.004705882352941176,0.01647058823529412,0.07058823529411765,0.04941176470588235,0.007058823529411765,0.01411764705882353,0.0,0.0
0.0,0.0,0.010638297872340425,1.0,0.010638297872340425,1.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.010638297872340425,0.031914893617021274,0.031914893617021274,0.0,0.0,0.0,0.0
0.0,0.0,0.003355704697986577,1.0,0.003355704697986577,1.0,0.013422818791946308,0.03691275167785235,0.0,0.0,0.0,0.003355704697986577,0.016778523489932886,0.06711409395973154,0.0436241610738255,0.020134228187919462,0.003355704697986577,0.0,0.010067114093959731
0.0,0.0,0.015267175572519083,1.3333333333333333,0.015267175572519083,1.3333333333333333,0.0,0.003816793893129771,0.0,0.0,0.0,0.0,0.007633587786259542,0.05343511450381679,0.030534351145038167,0.015267175572519083,0.007633587786259542,0.0,0.0
0.0,0.0,0.021621621621621623,1.3333333333333333,0.021621621621621623,1.3333333333333333,0.0,0.010810810810810811,0.0,0.0,0.0,0.0,0.021621621621621623,0.06486486486486487,0.06486486486486487,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.039603960396039604,0.0,0.0297029702970297,0.009900990099009901,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013986013986013986,0.04195804195804196,0.02097902097902098,0.006993006993006993,0.013986013986013986,0.0,0.0
0.0,0.0,0.009900990099009901,1.0,0.009900990099009901,1.0,0.0049504950495049506,0.009900990099009901,0.0,0.0,0.0,0.0,0.0297029702970297,0.039603960396039604,0.024752475247524754,0.01485148514851485,0.0,0.0,0.0049504950495049506
0.0,0.0,0.0070921985815602835,1.0,0.0070921985815602835,1.0,0.014184397163120567,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.031914893617021274,0.02127659574468085,0.0070921985815602835,0.0035460992907801418,0.0,0.0070921985815602835
0.0,0.0,0.007874015748031496,1.0,0.007874015748031496,1.0,0.003937007874015748,0.011811023622047244,0.0,0.0,0.0,0.0,0.015748031496062992,0.03543307086614173,0.01968503937007874,0.015748031496062992,0.0,0.0,0.007874015748031496
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046153846153846156,0.046153846153846156,0.0,0.0,0.0,0.03076923076923077
0.0,0.0,0.00641025641025641,1.0,0.00641025641025641,1.0,0.019230769230769232,0.01282051282051282,0.0,0.0,0.0,0.0,0.01282051282051282,0.04487179487179487,0.01282051282051282,0.02564102564102564,0.00641025641025641,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.025,0.05,0.0375,0.0125,0.0,0.0,0.0
0.0,0.0,0.010526315789473684,1.0,0.010526315789473684,1.0,0.010526315789473684,0.031578947368421054,0.0,0.0,0.0,0.0,0.0,0.042105263157894736,0.010526315789473684,0.021052631578947368,0.010526315789473684,0.0,0.021052631578947368
0.0,0.0,0.011278195488721804,1.0,0.011278195488721804,1.0,0.0037593984962406013,0.018796992481203006,0.0,0.0,0.0,0.0,0.022556390977443608,0.05263157894736842,0.015037593984962405,0.02631578947368421,0.011278195488721804,0.0,0.011278195488721804
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.045454545454545456,0.015151515151515152,0.0,0.0,0.0
0.0,0.0,0.011627906976744186,1.0,0.011627906976744186,1.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.03488372093023256,0.046511627906976744,0.03488372093023256,0.011627906976744186,0.0,0.0,0.011627906976744186
0.0,0.0,0.007142857142857143,1.0,0.007142857142857143,1.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.014285714285714285,0.05,0.02142857142857143,0.007142857142857143,0.02142857142857143,0.0,0.0
